latin,common,image_name,height_code,bloom_code,sun_code,moist_code,cat_code,deer_code,wild_code ,soil_code,wildlife_comments,design_function,gardening_tips,credit_code,region_code
Spiranthes cernua,Nodding Ladies Tresses,spiranthes_cernua.jpg,1,4,2,2,1,6,3,6,,,,5,7
Staphylea trifolia,Bladdernut,logo_785x853.jpg,4,2,6,4,2,6,30,3,,,,1,5
Stellaria pubera,Star Chickweed; Common Starwort; Giant Chickweed; Great Chickweed,logo_785x853.jpg,1,2,6,4,1,6,3,1,,,,1,7
Symphyotrichum laeve,Smooth Aster,logo_785x853.jpg,2,6,1,2,1,6,21,6,"Symphyotricum species benefit Ruffed Grouse, Wild Turkey, Tree Sparrow, Cottontail, Cardinals, Goldfinches, Chickadees, Titmouse, Towhees, Indigo Buntin, and 109 species of Lepidoptera.",,,6,6
Symphyotrichum novae-angliae,New England Aster,symphyotricum_novae_angliae.jpg,3,6,1,4,1,1,21,1,"Symphyotricum species benefit Ruffed Grouse, Wild Turkey, Tree Sparrow, Cottontail, Cardinals, Goldfinches, Chickadees, Titmouse, Towhees, Indigo Buntin, and 109 species of Lepidoptera.",,Superior asters for gardens.,1,6
Symphyotrichum novi-belgii,New York Aster,logo_785x853.jpg,2,6,1,4,1,1,21,3,"Symphyotricum species benefit Ruffed Grouse, Wild Turkey, Tree Sparrow, Cottontail, Cardinals, Goldfinches, Chickadees, Titmouse, Towhees, Indigo Buntin, and 109 species of Lepidoptera.",,Superior asters for gardens.,6,7
Symphyotricum cordifolium,Heart-leaved Aster; Blue Wood Aster,symphyotrichum_cordifolium.jpg,3,6,2,2,1,1,21,1,"Symphyotricum species benefit Ruffed Grouse, Wild Turkey, Tree Sparrow, Cottontail, Cardinals, Goldfinches, Chickadees, Titmouse, Towhees, Indigo Buntin, and 109 species of Lepidoptera.",,Short with pale blue flowers.,1,6
Symphyotricum lateriflorum,Calico Aster,symphyotrichum_lateriflorum.jpg,2,6,1,4,1,1,14,6,"Symphyotricum species benefit Ruffed Grouse, Wild Turkey, Tree Sparrow, Cottontail, Cardinals, Goldfinches, Chickadees, Titmouse, Towhees, Indigo Buntin, and 109 species of Lepidoptera.",,Showy white flowers with yellow centers.,5,6
Symphyotricum oblongifolium,Aromatic Aster,symphyotrichum_oblongifolium.jpg,2,5,1,2,1,1,14,1,"Symphyotricum species benefit Ruffed Grouse, Wild Turkey, Tree Sparrow, Cottontail, Cardinals, Goldfinches, Chickadees, Titmouse, Towhees, Indigo Buntin, and 109 species of Lepidoptera.","Border, pollinator garden. ",October Skies selection forms a tidy low mound.,5,7
Taxodium distichum,Bald Cypress,taxodium_distichum.jpg,7,1,5,5,2,2,6,6,Larval host for baldcypress sphinx.,"Shade tree, commercial spaces","Although Baldcypress is usually found in swamps, this is an adaptation to low oxygen, not water need, so it does very well in dry, compacted urban soils. Bald refeers to its decidous nature, uncommon among other conifers. Knees develop mostly in poorly drained soilds. Brilliant russet fall color.",5,7
Thalictrum dioicum,Early Meadow Rue,thalictrum_dioicum.jpg,2,2,6,4,1,6,30,3,,,,5,3
Thalictrum pubescens (T. polygamum),Common Tall Meadow Rue; King of the Meadow,logo_785x853.jpg,4,4,3,5,1,6,13,1,,,May be difficult to find for sale.,6,7
Thalictrum thalictroides,Rue Anemone; Windflower,thalictrum_thalictroides.jpg,1,3,5,2,1,6,4,6,,,Easily cultivated.,5,7
Thelypteris palustris,Marsh Fern,logo_785x853.jpg,2,1,2,2,4,6,5,6,,,,6,7
Tiarella cordifolia,Heart-leaved Foamflower; Foamflower; False Miterwort,tiarella_cordifolia.jpg,1,3,3,4,1,6,1,3,Ruffed Grouse. ,Ground cover.,,1,7
Tradescantia virginiana,Virginia Spiderwort,tradascantia_virginiana.jpg,2,3,3,4,1,6,3,5,,Short borders.,"Very long bloom season but blooms only in the morning. Self-seeds, hard to pull out and will resprout from any missed roots, so pull up seedlings when they are very young. ",1,7
Tridens flavus var. flavus,Purpletop; Tall Redtop,tridens_flavus.jpg,3,5,2,2,6,6,6,6,,,,1,7
Uvularia perfoliata,Perfoliate Bellwort; Mealy Bellwort,logo_785x853.jpg,2,2,2,4,1,6,3,3,,,,6,7
Vaccinium corymbosum,Highbush Blueberry; Northern Highbush Blueberry,vaccinum_corymbosum.jpg,4,3,3,3,2,6,20,7,,Fruit. Fall color. Commercial spaces. Erosion control.,Blueberries prefer acidic soils with sandy or rocky material.,5,6
Vaccinium pallidum,Early Lowbush or Blue Ridge Blueberry,logo_785x853.jpg,2,3,3,2,2,3,19,7,"Sweet berries have a high wildlife value, as do flowers and leaves. Several dozen songbirds, Oppossum, Red Fox, Skunk, Raccoon, rabbit, Bear, Wild turkey.",Fruit. Fall color. Commercial spaces.,,6,7
Verbena hastata,Blue Vervain; Common Vervain; Swamp Verbena,logo_785x853.jpg,2,4,2,5,1,6,17,6,"Swamp, Tree, White-Crowned, and Song Sparrows, Cottontail, Cardinal, Junco.",,,6,3
Verbesina alternifolia,Wingstem; Yellow Ironweed,verbesina_alternifolia.jpg,3,6,1,4,1,6,14,1,,Tall border.,It will still bloom in shade but stay shorter.,1,7
Vernonia noveboracensis,New York Ironweed,vernonia_noveboracensis.jpg,3,5,2,2,1,6,13,3,,"Border, meadow. ",Can be very tall. Cut back in spring for shorter summer plants.,1,7
Veronicastrum virginicum,Culvers-root,veronicastrum_virginicum.jpg,3,5,2,5,1,6,3,6,,Border. Pollinator garden.,Interesting white spikes of flowers.,1,7
Viburnum acerifolium,Maple-leaved Viburnum; Dockmackie,viburnum_acerifolium.jpg,4,3,3,3,2,3,6,5,"104 Lepidoptera species are known to utilize viburnums. At least 35 bird species are known to favor their berries, as well as several mammal species. Various pollinators visit the fairly showy flowers. Drupes (berries) attract Eastern Bluebird, Northern Flicker, Gray Catbird, and American Robin. Larval host for spring azure butterfly.",Commercial spaces. Erosion control.,The most shade-tolerant and shortest of the viburnums. Not very tolerant of salt or pollution. ,5,7
Viburnum dentatum,Arrow-wood; Southern Arrow-wood Viburnum,viburnum_dentatum.jpg,4,3,3,3,2,6,6,7,Host plant for the spring azure butterfly. ,Tall hedge or screen. Background to ornamentals. Commercial spaces.,Two are needed to produce fruit. Bluish/black fruit are better liked than others viburnums as forage. Not very drought tolerant. The most soil-tolerant of the viburnums.,1,6
Viburnum nudum,Possum-haw Viburnum; Southern Wild Raisin,logo_785x853.jpg,5,3,3,5,2,6,1,7,,Hedge.,"Blooms best with more sun and likes moist situations. Interesting-looking, edible berries. Flood, cold, insect, and disease tolerant, and transplants well.",6,6
Viburnum prunifolium,Blackhaw Viburnum; Nannyberry,viburnum_prunifolium.jpg,5,3,3,3,2,6,22,5,,Red fall foliage.Commercial spaces.,"It is fairly drought and wet tolerant, but not of compact or salty soil conditions. For best flowers and fruit, give black haw at least one-half day of sunlight.",5,6
Viola labradorica,Dog Violet,viola_labradorica.jpg,1,2,2,1,1,4,30,1,,,,5,6
Viola pedata,Birds-foot Violet,viola_pedata.jpg,1,2,1,2,1,4,23,7,,,,5,6
Viola pubescens,Yellow or Downy Yellow Violet,logo_785x853.jpg,1,3,4,5,1,4,15,1,,,,6,7
Viola striata,Striped White  or Cream Violet,viola_striata.jpg,1,2,4,5,1,4,22,1,,,Long-blooming.,5,6
Vitis aestivalis,Summer Grape,vitis_aestivalis.jpg,5,3,1,4,3,6,1,6,"Bobwhite, Grouse,Wild Turkey,Wood Duck,Fox, Oppossum,Raccoon, Skunk, several dozen species of songbirds and 3 species of woodpeckers.",,May be difficult to find for sale.,5,7
Wisteria frutescens,Atlantic wisteria,wisteria_frutescens.jpg,5,3,3,2,3,2,16,6,,,"Large, fragrant, drooping clusters of flowers - 6-9 inches long - appear only on new wood and after the plant has leafed out, a difference from the popular but invasive Asian species. Less aggressive than the Asian. ",5,4
Yucca filamentosa,Common Yucca; Adams Needle,yucca_filamentosa.jpg,3,4,1,1,1,1,26,7,Larval host to black swallowtail butterfly.This plant and the Yucca moth are completely interdependent: one cannot reproduce without the other.,Border.,,1,4
Zizania aquatica,Southern Wild Rice,logo_785x853.jpg,4,4,1,5,6,6,6,6,,,,6,4
Zizia aurea,Golden-alexanders,zizia_aurea.jpg,2,3,3,5,1,3,14,6,,Border.,Attracts beneficial insects that control pests.,1,7
